LocusID,Gene Name,Gene Synonyns,Product Name,Product Synonyms,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49 ,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70
PA2417,--,--,probable transcriptional regulator,--,102,21,87,9,9,8,262,241,48,4,15,68,36,61,79,18,46,86,10,27,79,37,11,41
PA2418,--,--,hypothetical protein,--,101,154,151,5,17,6,167,71,32,14,14,60,107,59,90,12,30,32,16,41,37,1,31,18
PA2419,--,slsA,probable hydrolase,--,1,1,2,0,0,0,2,10,1,0,8,0,0,0,1,1,0,0,0,6,4,0,0,0
PA2420,--,opdJ,probable porin,--,0,3,4,0,6,0,17,27,0,4,14,18,0,10,10,2,5,0,5,8,1,1,0,4
PA2421,--,--,hypothetical protein,--,1,0,1,0,0,0,3,1,0,0,0,0,0,11,1,3,2,2,1,4,5,0,0,0
PA2422,--,--,hypothetical protein,--,0,6,1,0,2,0,9,128,0,0,0,0,4,3,6,3,6,0,7,4,2,0,0,1
PA2423,--,--,hypothetical protein,--,7,3,15,7,2,9,1368,11,41,16,0,9,13,43,42,1,11,4,1,9,8,99,0,5
PA2424,pvdL,--,PvdL,PvdL,1186,787,2762,257,707,121,4840,1608,552,119,1227,257,656,318,963,85,203,4175,445,270,387,806,511,2389
PA2425,pvdG,--,PvdG,PvdG,84,61,191,14,48,10,474,124,43,16,61,9,47,24,112,7,12,198,50,6,32,50,62,266
PA2426,pvdS,--,sigma factor PvdS,--,643,211,471,146,452,65,2817,56,80,44,158,47,102,84,409,50,89,414,215,159,167,275,76,613
PA2427,--,--,hypothetical protein,--,0,0,0,0,0,0,282,0,0,15,0,9,0,0,225,0,40,295,0,129,94,157,55,0
PA2428,--,--,hypothetical protein,--,178,69,107,5,22,6,826,67,28,6,37,17,22,51,151,14,20,22,18,88,62,17,7,110
PA2429,--,--,hypothetical protein,--,13,0,8,0,0,2,63,7,6,3,0,0,2,20,4,1,0,0,0,8,0,7,0,6
PA2430,--,--,conserved hypothetical protein,--,13,5,24,10,1,1,81,33,25,0,16,8,9,0,7,0,4,9,28,31,43,0,4,10
PA2431,--,--,hypothetical protein,--,37,16,25,8,7,9,63,55,16,7,12,24,22,30,35,10,38,0,56,44,131,0,14,29
PA2432,bexR,--,bistable expression regulator BexR,"bistable expression regulator, BexR",118,25,27,2,0,9,269,25,18,2,7,36,7,28,27,7,5,4,47,25,238,7,21,16
PA2433,--,--,hypothetical protein,--,71,43,72,27,48,2,297,134,129,6,44,146,36,253,74,7,49,45,10,70,78,23,63,82
PA2434,--,--,hypothetical protein,--,13,17,36,31,10,4,20,84,22,0,16,57,4,41,24,0,18,14,6,15,12,0,15,31
PA2435,--,--,probable cation-transporting P-type ATPase,--,86,131,105,57,48,18,245,368,152,13,94,107,58,179,70,23,44,163,30,90,30,56,40,132
PA2436,--,--,hypothetical protein,--,141,46,194,72,26,5,1527,61,22,15,59,2,26,53,98,23,79,37,11,12,28,155,10,186
PA2437,--,--,hypothetical protein,--,34,20,17,23,14,16,64,60,79,3,22,5,9,35,11,5,18,33,12,11,32,15,2,47
PA2438,--,--,hypothetical protein,--,34,1,40,12,0,15,133,65,41,21,22,0,14,9,15,12,12,20,8,22,17,19,11,180
PA2439,--,--,hypothetical protein,--,90,86,74,162,49,31,338,231,302,31,125,8,38,115,94,23,15,146,31,41,94,47,57,168
PA2440,--,--,hypothetical protein,--,59,23,155,31,7,7,140,35,63,11,24,0,31,117,32,2,12,99,9,27,20,9,15,26
PA2441,--,--,hypothetical protein,--,1,2,27,8,1,1,26,12,20,1,2,0,3,5,4,3,0,22,1,7,5,0,2,5
PA2442,gcvT2,--,glycine cleavage system protein T2,aminomethyltransferase,28,6,248,2,20,8,127,102,18,5,17,18,7,21,16,2,4,35,5,28,20,8,9,81
PA2443,sdaA,--,L-serine dehydratase,L-serine deaminase,119,24,347,36,62,29,259,254,65,20,38,21,18,57,88,20,5,82,20,42,68,13,18,125
PA2444,glyA2,--,serine hydroxymethyltransferase,--,68,25,695,0,21,19,399,232,49,14,87,2,55,23,52,16,10,68,15,35,71,74,15,185
PA2445,gcvP2,--,glycine cleavage system protein P2,glycine decarboxylase,393,52,1346,132,49,96,1893,955,125,47,170,23,135,215,237,51,91,190,32,124,279,98,68,617
PA2446,gcvH2,--,glycine cleavage system protein H2,--,232,12,423,47,15,14,6230,245,77,44,72,41,47,70,278,509,120,30,7,47,61,585,17,355
PA2447,--,--,probable transcriptional regulator,--,33,9,54,1,13,12,117,37,23,2,23,6,12,10,26,8,1,16,9,23,16,13,4,37
PA2448,--,--,putative hydrolase,putative hydrolase,22,4,5,0,2,2,198,21,1,2,0,0,0,0,10,5,8,9,0,7,3,4,4,23
PA2449,gcsR,--,GcsR,transcriptional regulator ; GcsR,110,33,116,17,39,7,209,211,48,7,24,0,22,12,36,8,16,115,23,77,21,32,21,125
PA2450,--,--,hypothetical protein,--,59,99,92,14,14,7,137,104,43,4,95,10,15,34,49,7,7,32,15,27,35,10,21,98
PA2451,--,--,hypothetical protein,--,37,10,89,0,11,6,87,34,34,3,40,9,43,7,38,2,8,19,5,34,10,3,1,79
PA2452,--,--,hypothetical protein,--,22,12,43,7,21,5,39,56,2,7,18,0,28,5,21,1,16,75,7,35,6,37,7,42
PA2453,--,--,hypothetical protein,--,156,42,252,54,19,33,587,88,50,8,59,11,12,39,90,19,21,27,10,13,60,23,14,182
PA2454,--,--,hypothetical protein,--,33,23,51,34,5,5,249,61,28,9,42,0,14,41,78,27,23,8,5,20,35,33,10,60
PA2455,--,--,hypothetical protein,--,18,19,26,0,8,0,197,142,48,3,56,19,15,10,46,27,15,15,13,52,47,50,13,50
PA2456,--,--,hypothetical protein,--,57,25,23,3,4,0,0,0,0,1,5,0,8,0,12,0,0,0,0,0,0,0,0,30
PA2457,--,--,hypothetical protein,--,36,18,26,14,13,0,31,10,4,0,14,0,0,6,47,0,16,4,3,8,7,0,0,54
PA2458,--,--,hypothetical protein,--,6,4,6,0,7,2,22,16,0,2,14,0,0,1,9,6,12,1,4,18,10,12,4,39
PA2459,--,--,hypothetical protein,--,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,56,13,0,0,0
PA2460,--,--,hypothetical protein,--,0,0,0,0,0,0,182,4,9,0,0,0,2,12,14,0,7,1,0,109,23,9,6,1
PA2461,--,--,hypothetical protein,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA2462,--,--,hypothetical protein,--,10,7,9,1,4,2,612,73,124,36,52,187,93,266,321,3,301,102,6,620,219,170,87,249
PA2463,--,--,hypothetical protein,--,8,2,14,7,4,9,114,239,12,7,8,4,27,43,29,5,20,6,16,57,50,5,15,17
PA2464,--,--,hypothetical protein,--,198,31,105,16,26,7,832,19,21,14,21,0,13,26,24,5,21,15,19,9,16,19,2,96
PA2465,--,--,hypothetical protein,--,19,14,28,7,6,2,51,17,4,2,12,15,13,0,7,4,0,3,1,17,5,0,0,6
PA2466,foxA,optS,Ferrioxamine receptor FoxA,Ferrioxamine receptor FoxA ,66,51,171,61,37,34,195,146,16,16,57,17,33,52,65,13,33,37,17,50,43,15,45,147
PA2467,foxR,--,Anti-sigma factor FoxR,Anti-sigma factor FoxR  ,165,121,190,65,126,49,457,222,34,20,47,37,120,38,148,9,47,67,42,36,92,102,47,190
PA2468,foxI,--,ECF sigma factor FoxI,ECF sigma factor FoxI  ,1791,219,561,243,276,25,5333,422,82,101,129,80,100,57,548,158,116,161,49,61,88,447,69,621
PA2469,--,--,probable transcriptional regulator,--,20,23,31,8,13,11,58,115,36,5,9,34,48,5,19,33,5,3,2,35,13,13,7,11
PA2470,gtdA,--,gentisate 12-dioxygenase,--,11,4,8,11,2,7,29,31,2,3,8,24,15,6,16,4,16,0,2,20,7,1,10,5
PA2471,--,--,conserved hypothetical protein,--,6,3,2,1,2,0,30,10,2,1,3,19,0,13,5,10,4,0,0,4,1,0,0,5
PA2472,--,--,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,4,4,2,0,1,0,7,16,5,1,2,0,12,1,3,0,0,0,1,8,0,0,5,1
PA2473,--,--,maleylpyruvate isomerase,maleylpyruvate isomerase,0,0,0,1,0,0,4,6,0,0,0,0,0,0,2,0,0,0,0,1,4,0,1,3
PA2474,--,--,hypothetical protein,--,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,3,0,0,5,0,0,1,0
PA2475,--,--,probable cytochrome P450,--,24,11,38,6,9,7,115,129,9,0,6,17,21,33,32,9,19,38,98,26,21,0,18,35
PA2476,dsbG,--,thiol:disulfide interchange protein DsbG,--,151,19,114,78,23,10,595,143,11,4,12,53,11,16,29,6,5,44,198,15,24,0,32,72
PA2477,--,--,probable thiol:disulfide interchange protein,--,84,23,87,65,21,20,397,267,30,18,26,110,18,33,82,21,19,77,360,36,50,49,55,97
PA2478,--,dsbD2 ; dipZ2,probable thiol:disulfide interchange protein,--,1290,276,473,143,93,95,5944,802,88,97,161,418,170,142,257,159,153,358,919,111,145,223,188,403
PA2479,--,--,probable two-component response regulator,--,162,66,70,6,67,33,485,218,53,17,64,77,45,53,80,20,22,65,117,53,58,207,60,149
PA2480,--,--,probable two-component sensor,--,49,53,56,24,27,27,185,252,39,8,14,31,20,23,60,26,10,151,184,23,43,162,28,70
PA2481,--,--,hypothetical protein,--,28,8,12,0,4,2,108,64,10,1,9,6,17,29,39,5,14,25,6,19,37,27,21,39
PA2482,--,--,probable cytochrome c,--,70,9,31,14,11,2,115,40,16,2,11,38,19,42,33,12,7,15,6,14,21,18,5,78
PA2483,--,yhbW,conserved hypothetical protein,--,142,62,97,65,40,14,651,185,23,18,32,128,162,35,178,27,68,44,20,93,139,52,78,132
PA2484,--,--,conserved hypothetical protein,--,155,59,210,36,31,34,777,265,74,6,49,46,75,19,198,47,119,44,23,41,67,145,39,315
PA2485,--,--,hypothetical protein,--,100,60,63,53,53,3,110,83,56,14,18,0,12,65,58,2,18,12,6,15,69,24,8,85
PA2486,ptrC,--,Pseudomonas type III repressor gene C PtrC,"Pseudomonas type III repressor gene C, PtrC ; hypothetical protein",141,99,215,209,73,4,242,209,140,16,72,53,37,110,102,9,51,28,5,22,284,27,40,175
PA2487,--,--,hypothetical protein,--,54,21,23,21,12,3,104,243,30,3,28,122,33,55,86,36,64,26,8,36,16,82,27,71
PA2488,--,--,probable transcriptional regulator,--,23,8,8,18,11,5,57,219,72,14,40,7,46,22,56,15,29,24,6,38,42,54,22,47
PA2489,--,--,probable transcriptional regulator,--,12,16,15,0,17,4,169,95,10,6,22,37,13,26,30,18,32,5,10,28,26,43,10,35
PA2490,--,ydbB,conserved hypothetical protein,--,4,2,4,4,13,2,13,23,4,2,6,0,16,4,9,0,3,0,0,12,2,0,2,3
PA2491,mexS,--,MexS,MexS,724,623,115,311,239,21,0,686,127,52,124,60,175,115,383,45,115,182,62,56,550,158,57,532
PA2492,mexT,--,transcriptional regulator MexT,--,387,216,288,250,114,21,0,244,128,36,54,133,76,123,168,100,44,36,31,44,79,74,54,286
PA2493,mexE,--,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexE precursor,RND multidrug efflux membrane fusion protein MexE precursor,380,211,50,159,179,3,0,217,67,28,94,0,55,41,244,24,44,54,3,38,55,70,14,323
PA2494,mexF,--,Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexF,RND multidrug efflux transporter MexF,129,76,46,35,47,4,40,306,66,52,115,12,112,226,173,44,100,65,4,34,91,111,5,163
PA2495,oprN,--,Multidrug efflux outer membrane protein OprN precursor,--,49,35,20,3,12,0,45,79,18,5,29,0,16,23,49,6,14,31,2,13,19,64,11,38
PA2496,--,--,hypothetical protein,--,8,7,12,0,4,2,160,19,3,0,2,0,13,2,1,0,0,0,1,1,16,0,0,17
PA2497,--,--,probable transcriptional regulator,--,11,34,19,5,14,2,117,25,13,6,14,0,46,20,21,9,5,1,2,9,90,15,7,27
PA2498,--,yahD,conserved hypothetical protein,--,7,2,20,0,0,0,30,5,6,9,8,0,17,8,12,3,0,7,4,6,18,2,6,26
PA2499,--,ykoA,probable deaminase,--,7,2,5,3,1,0,19,5,2,0,5,0,16,1,9,6,11,9,1,0,14,0,2,29
PA2500,--,cynX,probable major facilitator superfamily (MFS) transporter,probable MFS transporter,13,25,25,18,11,5,59,61,8,6,0,14,42,12,18,0,9,14,4,15,40,11,9,40
PA2501,--,--,hypothetical protein,--,51,14,29,3,2,5,461,13,17,1,14,0,4,13,21,8,13,0,2,2,14,0,2,262
PA2502,--,--,hypothetical protein,--,30,12,18,40,13,6,265,77,20,10,25,0,29,41,59,18,17,29,8,20,38,30,3,50
PA2503,--,--,hypothetical protein,--,41,20,29,7,26,11,217,79,37,3,11,3,0,23,28,5,17,33,7,13,20,7,11,80
PA2504,--,--,hypothetical protein,--,630,782,650,67,437,10,4275,90,511,155,6,7,12,190,698,65,71,23,8,8,36,291,16,933
PA2505,opdT,oprD3,tyrosine porin OpdT,tyrosine porin OpdT ,71,30,39,14,18,7,107,70,6,4,22,0,10,44,18,7,12,34,20,15,8,17,13,49
PA2506,--,--,hypothetical protein,--,50,4,42,15,3,2,178,25,10,4,7,0,2,0,29,27,5,1,94,1,5,20,2,29
PA2507,catA,--,catechol 12-dioxygenase,--,0,0,2,3,7,0,19,21,2,0,0,0,0,4,0,0,0,1,2,9,3,0,0,6
PA2508,catC,--,muconolactone delta-isomerase,--,2,0,1,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,3,2,0,12,0,4
PA2509,catB,--,muconate cycloisomerase I,cis ; cis-muconate lactonizing enzyme I,4,2,0,1,2,0,7,12,4,0,0,2,0,2,2,0,0,5,4,3,8,5,0,1
PA2510,catR,--,transcriptional regulator CatR,--,5,3,8,4,3,1,17,14,5,0,3,0,5,34,11,1,3,21,2,12,12,19,2,7
PA2511,antR,--,AntR,AntR,17,16,28,10,13,5,52,27,8,7,12,6,20,6,7,5,6,29,5,20,10,8,6,20
PA2512,antA,--,anthranilate dioxygenase large subunit,--,3,2,10,17,16,2,44,40,6,2,9,0,2,15,4,5,0,6,8,24,5,0,0,6
PA2513,antB,--,anthranilate dioxygenase small subunit,--,0,0,1,9,0,2,26,3,3,0,2,6,0,1,1,1,8,1,1,9,1,7,0,4
PA2514,antC,--,anthranilate dioxygenase reductase,--,0,0,2,4,1,1,3,6,2,0,4,6,2,4,1,1,7,0,1,0,0,7,0,1
PA2515,xylL,--,cis-12-dihydroxycyclohexa-34-diene carboxylate dehydrogenase,--,0,3,1,0,0,0,5,4,4,1,3,0,1,1,0,0,0,6,0,1,0,0,0,2
PA2516,xylZ,--,toluate 12-dioxygenase electron transfer component,--,6,4,8,0,5,1,11,12,7,0,2,6,1,0,2,0,0,0,1,3,0,0,0,4
PA2517,xylY,--,toluate 12-dioxygenase beta subunit,--,5,0,5,0,4,2,13,2,14,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1
PA2518,xylX,--,toluate 12-dioxygenase alpha subunit,--,0,1,2,0,2,1,7,12,37,1,0,19,7,8,5,0,1,1,0,23,1,0,0,1
PA2519,xylS,--,transcriptional regulator XylS,--,3,5,6,0,3,0,26,17,6,1,1,0,1,17,7,1,0,3,0,8,3,1,7,8
PA2520,czcA,--,Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA,RND divalent metal cation efflux transporter CzcA,27,30,25,0,9,5,176,44,4,4,2,5,3,32,31,6,27,16,2,16,6,14,3,22
PA2521,czcB,--,Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux membrane fusion protein CzcB precursor,RND divalent metal cation efflux membrane fusion protein CzcB precursor,10,4,3,0,2,1,9,2,12,0,0,0,2,13,6,1,0,0,2,15,1,23,0,5
PA2522,czcC,--,outer membrane protein precursor CzcC,--,21,16,13,0,0,3,36,19,2,1,2,0,2,0,11,1,6,0,2,21,4,0,4,10
PA2523,czcR,--,CzcR,CzcR,97,45,112,37,10,3,775,41,20,4,7,1,14,2,29,22,25,9,3,6,20,12,6,56
PA2524,czcS,--,CzcS,CzcS,10,17,15,2,5,5,73,61,7,0,3,23,13,3,13,9,6,15,1,15,5,24,1,16
PA2525,opmB,--,OpmB,OpmB,43,13,53,17,9,22,96,84,24,4,13,0,6,40,31,2,6,39,11,7,36,62,4,58
PA2526,muxC,yegO,MuxC,probable RND efflux transporter ; MuxC,127,69,139,24,38,62,139,259,98,18,92,11,36,106,88,5,10,88,28,29,124,62,11,188
PA2527,muxB,yegN,MuxB,probable RND efflux transporter ; MuxB,87,49,90,16,50,69,80,229,97,10,42,11,13,79,115,11,24,60,17,25,63,26,8,139
PA2528,muxA,yegM,MuxA,probable RND efflux membrane fusion protein precursor ; MuxA,74,25,70,6,16,24,934,126,42,8,39,13,13,52,68,6,19,43,19,16,44,62,5,123
PA2529,--,--,hypothetical protein,--,48,13,92,32,16,16,159,68,32,6,13,23,9,0,43,13,12,20,10,19,26,8,23,55
PA2530,--,--,hypothetical protein,--,52,2,66,14,11,9,109,99,34,2,5,0,14,18,19,6,6,22,16,27,24,7,13,10
PA2531,--,--,probable aminotransferase,--,81,43,243,11,47,10,1141,24,96,6,121,15,74,46,130,18,32,123,11,26,41,118,15,369
PA2532,tpx,--,thiol peroxidase,--,127,83,100,46,34,23,294,78,39,13,50,30,33,22,56,6,21,47,11,19,54,7,32,81
PA2533,--,--,probable sodium:alanine symporter,--,103,46,89,28,27,19,412,134,52,6,22,0,11,56,39,9,7,35,22,26,52,9,7,160
PA2534,--,--,probable transcriptional regulator,--,37,14,19,11,7,5,181,92,14,5,21,0,18,1,57,4,11,14,7,12,31,14,6,71
PA2535,--,--,probable oxidoreductase,--,24,6,29,7,5,3,46,50,4,0,7,1,5,5,22,0,9,9,1,6,13,18,7,17
PA2536,--,ynbB,probable phosphatidate cytidylyltransferase,--,208,25,99,50,11,7,1691,204,31,9,39,1,22,36,46,6,41,28,42,52,71,132,18,94
PA2537,--,--,probable acyltransferase,--,18,10,34,8,8,9,178,83,7,3,10,9,8,0,13,5,10,12,17,18,36,27,0,61
PA2538,--,--,hypothetical protein,--,15,14,26,6,11,2,73,53,0,1,10,9,0,8,11,4,2,16,16,17,50,2,6,23
PA2539,--,ynbD,conserved hypothetical protein,--,34,71,42,9,5,21,254,275,21,14,61,10,12,8,53,19,4,66,73,47,149,13,9,58
PA2540,--,--,conserved hypothetical protein,--,57,27,78,23,21,7,198,224,16,9,53,0,25,35,44,5,17,26,68,25,132,28,11,79
PA2541,--,--,probable CDP-alcohol phosphatidyltransferase,--,301,178,359,75,69,41,1857,440,157,18,144,31,43,96,139,15,25,123,72,41,236,189,51,335
PA2542,--,ytfN,conserved hypothetical protein,--,168,252,304,67,72,35,406,419,122,42,234,141,266,351,132,31,51,148,112,78,199,48,127,181
PA2543,--,ytfM,conserved hypothetical protein,--,571,99,427,122,102,35,1784,146,99,22,65,25,10,70,124,18,39,63,33,23,103,134,14,527
PA2544,--,--,hypothetical protein,--,128,34,38,9,14,3,223,88,22,0,26,52,15,11,51,8,14,18,8,26,31,17,3,44
PA2545,xthA,--,exodeoxyribonuclease III,exonuclease III,123,19,140,25,46,17,411,136,33,4,60,24,39,52,35,12,23,52,12,19,73,78,22,186
PA2546,--,--,probable ring-cleaving dioxygenase,--,9,11,13,18,0,2,62,44,13,4,9,0,14,14,19,1,10,8,0,4,8,3,0,25
PA2547,--,--,probable transcriptional regulator,--,12,10,18,6,9,1,15,32,10,2,6,9,16,19,18,6,7,12,4,13,11,13,2,21
PA2548,--,--,hypothetical protein,--,43,23,23,5,9,2,360,65,22,4,15,0,11,12,29,6,7,0,14,12,12,28,6,25
PA2549,--,ygjT,conserved hypothetical protein,--,368,87,266,141,73,16,787,291,73,26,113,62,48,173,189,57,113,45,44,69,179,66,33,261
PA2550,--,--,probable acyl-CoA dehydrogenase,--,10,8,23,27,9,8,53,53,15,0,9,1,6,21,15,3,4,69,3,5,27,15,14,26
PA2551,--,--,probable transcriptional regulator,--,175,73,108,74,49,20,516,141,105,11,110,35,87,51,151,41,50,61,36,30,190,79,32,206
PA2552,--,acdB,probable acyl-CoA dehydrogenase,--,14,12,32,28,21,10,37,65,54,0,55,0,19,22,45,6,12,27,18,39,28,20,18,77
PA2553,--,--,probable acyl-CoA thiolase,--,86,80,161,31,59,35,489,150,93,10,82,41,33,13,93,10,20,70,62,41,109,39,36,262
PA2554,--,--,probable short-chain dehydrogenase,--,43,29,52,16,22,13,263,16,15,1,29,0,3,0,19,5,2,7,19,3,27,4,16,235
PA2555,--,--,probable AMP-binding enzyme,--,170,113,235,28,71,65,347,345,466,35,137,57,90,91,287,37,50,75,212,60,201,45,77,512
PA2556,--,--,probable transcriptional regulator,--,27,27,31,20,8,6,107,80,20,6,21,21,11,45,19,5,13,17,15,25,20,16,14,50
PA2557,--,--,probable AMP-binding enzyme,--,62,24,53,8,39,15,129,103,28,4,34,38,26,46,77,12,27,16,15,63,50,32,54,49
PA2558,--,--,probable transport protein,--,59,19,56,4,15,5,370,210,49,5,29,18,27,57,81,21,21,27,8,43,44,110,39,55
PA2559,--,--,hypothetical protein,--,50,35,89,27,12,14,208,200,36,14,47,49,26,31,101,21,27,53,23,18,25,58,13,62
PA2559.1,srfA,--,SrfA,--,93,42,172,0,26,5,205,415,208,26,42,178,27,256,84,21,35,57,7,34,31,119,37,171
PA2560,--,--,hypothetical protein,--,267,76,311,25,95,54,1422,852,601,53,202,228,96,319,196,29,81,212,19,77,51,270,38,365
PA2561,ctpH,--,CtpH,CtpH,104,43,113,3,27,4,681,1233,202,14,33,577,30,592,99,15,58,96,7,30,12,155,66,96
PA2562,--,--,hypothetical protein,--,1355,449,1904,73,312,38,4868,1031,2004,73,363,413,206,767,437,61,232,395,40,70,189,496,225,1048
PA2563,--,--,probable sulfate transporter,--,56,5,22,2,8,6,132,235,77,4,33,50,32,133,92,23,54,64,10,41,68,126,9,37
PA2564,--,tam,hypothetical protein,trans-aconitate methyltransferase,32,1,31,0,0,7,0,0,0,13,0,0,23,0,45,0,32,0,2,0,0,1,0,0
PA2565,--,--,hypothetical protein,--,12,0,18,12,0,3,0,0,0,4,1,0,5,0,21,0,3,0,0,0,0,0,0,0
PA2566,--,--,conserved hypothetical protein,--,37,1,37,1,0,3,0,0,0,6,1,0,15,0,197,0,36,0,0,0,0,1,1,0
PA2566.1,--,--,Uncharacterized protein,Uncharacterized protein,0,0,3,0,1,0,4,6,0,0,0,6,0,0,1,0,0,0,0,5,0,0,0,3
PA2567,--,--,hypothetical protein,--,53,14,56,16,43,7,446,582,52,6,26,22,34,65,48,16,21,26,8,30,20,33,18,185
PA2568,--,--,hypothetical protein,--,170,44,240,41,35,9,289,240,78,18,51,46,29,127,49,6,21,36,12,128,59,0,26,77
PA2569,--,--,hypothetical protein,--,560,88,1014,28,101,12,812,180,114,27,102,160,39,189,46,8,24,32,3,73,55,20,74,305
PA2570,lecA,pa1L ; lecA (changed from pa1L) ,LecA,PA-I galactophilic lectin ; LecA (changed from PA-I galactophilic lectin),5,0,6,0,7,0,121,30,1,2,10,0,7,0,8,4,11,2,0,27,7,11,5,3
PA2571,--,--,probable two-component sensor,--,42,27,52,0,11,5,111,151,43,6,5,13,16,57,50,32,19,22,15,39,30,0,25,48
PA2572,--,--,probable two-component response regulator,--,238,65,276,75,55,21,3426,190,141,22,82,49,29,116,104,29,89,61,12,77,110,53,39,323
PA2573,--,--,probable chemotaxis transducer,chemotaxis sensory transducer,81,26,73,39,35,22,938,112,52,17,2,0,15,19,49,7,65,26,22,18,80,24,10,124
PA2574,alkB1,--,alkane-1-monooxygenase,--,38,32,37,10,18,12,257,97,14,13,21,38,37,21,39,11,26,18,7,11,58,18,6,64
PA2575,--,--,hypothetical protein,--,267,105,355,352,47,25,549,42,166,60,69,63,18,18,70,21,47,47,18,36,1403,58,77,293
PA2576,--,--,hypothetical protein,--,138,49,105,44,42,9,153,57,77,10,30,0,156,19,60,11,10,24,10,24,62,9,15,85
PA2577,--,--,probable transcriptional regulator,--,229,39,133,19,38,7,2103,42,17,14,9,8,57,33,71,23,33,11,6,18,21,73,16,116
PA2578,--,--,probable acetyltransferase,--,20,8,50,58,18,4,63,58,6,5,5,26,25,37,15,9,15,15,5,8,27,24,11,27
PA2579,kynA,--,L-Tryptophan:oxygen 23-oxidoreductase (decyclizing) KynA,"L-Tryptophan:oxygen 2,3-oxidoreductase (decyclizing) KynA",134,35,165,46,52,15,1332,234,212,27,23,49,107,18,148,25,72,26,19,32,68,62,25,182
PA2580,--,mdaB,conserved hypothetical protein,--,13,1,16,7,3,0,100,24,8,4,0,37,5,26,19,14,19,3,2,17,13,48,0,7
PA2581,--,--,hypothetical protein,--,91,66,127,33,55,15,1020,95,61,18,26,23,25,44,71,24,36,32,19,39,49,72,15,153
PA2582,--,--,hypothetical protein,--,762,148,520,179,180,53,1019,200,145,33,146,36,88,119,201,16,53,81,116,63,68,124,51,949
PA2583,--,--,probable sensor/response regulator hybrid,--,597,111,617,134,143,87,2048,435,210,36,389,217,98,367,298,80,120,171,106,62,330,136,133,1957
PA2584,pgsA,--,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,phosphatidylglycerophosphate synthase,75,16,64,19,30,12,198,92,70,8,78,15,29,119,82,9,39,26,21,14,32,20,22,74
PA2585,uvrC,--,excinuclease ABC subunit C,UvrABC endonuclease subunit C ; UvrC,79,34,169,75,15,20,280,227,26,15,49,54,32,40,233,20,31,134,37,42,49,39,15,256
PA2586,gacA,--,response regulator GacA,--,1264,114,735,213,93,41,7715,313,139,87,100,29,54,86,404,85,130,229,57,39,67,118,38,528
PA2587,pqsH,--,probable FAD-dependent monooxygenase,--,16,2,58,29,13,1,338,24,63,4,0,0,20,6,40,0,4,37,1,13,4,20,8,15
PA2588,--,--,probable transcriptional regulator,--,17,14,18,13,19,7,365,25,10,0,6,13,7,10,32,14,7,12,4,6,12,0,2,17
PA2589,--,--,hypothetical protein,--,35,7,23,0,0,4,109,20,4,0,0,0,10,0,8,5,0,7,3,13,7,1,11,4
PA2590,--,--,hypothetical protein,--,42,15,9,19,13,1,38,51,10,0,12,11,7,0,24,3,4,7,1,18,4,0,0,6
PA2591,vqsR,--,VqsR,VqsR,163,28,116,15,14,3,5801,103,74,41,11,8,12,58,281,17,107,48,5,17,30,10,12,48
PA2592,--,potF5,probable periplasmic spermidine/putrescine-binding protein,--,168,29,66,18,9,12,2913,132,74,18,11,19,17,59,84,8,71,41,6,31,37,194,9,39
PA2593,qteE,--,quorum threshold expression element QteE,"quorum threshold expression element, QteE",0,4,0,0,0,0,34,13,16,0,3,8,1,4,2,3,2,8,1,0,9,0,8,1
PA2594,--,--,putative periplasmic aliphatic sulfonate binding protein,putative periplasmic aliphatic sulfonate binding protein,1,2,9,3,6,6,52,32,16,3,5,38,35,79,40,5,43,14,6,20,26,30,9,36
PA2595,--,--,conserved hypothetical protein,--,12,6,7,13,3,5,77,14,1,0,2,7,3,15,14,6,12,2,2,9,1,0,39,8
PA2596,--,--,conserved hypothetical protein,--,1,6,5,2,9,2,59,12,2,1,13,6,2,6,9,2,9,3,2,10,9,0,18,10
PA2597,--,--,hypothetical protein,--,1,2,0,16,4,7,23,16,1,4,2,18,6,0,50,4,5,8,6,2,19,8,26,16
